,target,nn1,nn2,nn3,nn5,nn10,nn50,outlier
0,physicalism__xx,physicalism(1.0),supersedes(0.424281214457),phenomenalism(0.324897585714),versus(0.290396413957),abandonment(0.257651538829),explicative(0.185187574908),"(0.15762101598731826, 'afterward')"
1,words__xx,words(1.0),ëwhateverí(0.44771407223),other(0.395230529741),hand(0.381268809446),unanalyzable(0.369115311199),vocis(0.27893611412),"(0.20935629486692098, 'context')"
2,quantifiers__xx,quantifiers(1.0),existential(0.616020024794),universal(0.608508649124),quantifications(0.470258208431),jth(0.412995135947),conjunction(0.264277945256),"(0.20876008235332189, 'merely')"
3,variables__xx,variables(1.0),variable(0.717292838023),bound(0.699029081706),bindable(0.548967453232),occupant(0.439328619738),genuine(0.278562214963),"(0.18256978843780447, 'by')"
4,maxim__xx,maxim(1.0),shallow(0.392442130596),mutilation(0.376024181158),conveys(0.285107417333),fits(0.245731865327),analysis(0.178345741088),"(0.15474251110084583, 'begins')"
5,specious_present__xx,specious_present(1.0),newspaper(0.39890993918),carbohydrates(0.359358638999),kinesthetic(0.352026745543),sundays(0.324116913491),tenure(0.255405579152),"(0.218797012414716, 'period')"
6,phoneme__xx,phoneme(1.0),normality(0.356923811414),pagination(0.307283126124),allophone(0.294443632984),cancellatory(0.251655250277),threaten(0.204215289481),"(0.17486156202604963, 'cries')"
7,numbers__xx,numbers(1.0),real(0.734685092456),number(0.725541837849),irrational(0.662494115374),ratios(0.540516029935),fractions(0.2894215358),"(0.20531602460519266, 'functions')"
8,learning__xx,learning(1.0),learn(0.467398167121),formation(0.444124768834),habit(0.354236662912),acquiring(0.320455316277),native(0.231444577726),"(0.18406330225800321, 'depends')"
9,divided_reference__xx,divided_reference(1.0),singular(0.31920513926),discouragingly(0.319098440106),dose(0.300096781728),reforming(0.257220954484),org(0.210107465322),"(0.18448277851934802, 'vain')"
10,information__xx,information(1.0),collateral(0.629120402529),inflated(0.564718196554),influences(0.433522125088),intrusive(0.372690055547),banal(0.22849456448),"(0.17334525327963418, 'meant')"
11,nominalism__xx,nominalism(1.0),disavowals(0.294504559312),realism(0.289672431588),stine(0.286364877008),unhelpful(0.254736575336),claims(0.196160150225),"(0.16457602676793531, 'empiricist')"
12,paradox__xx,paradox(1.0),burali(0.628041485906),forti(0.626514569997),packs(0.511914274996),paradoxes(0.461754164326),tenability(0.247683969622),"(0.17954209584987438, 'analysis')"
13,truth_functions__xx,truth_functions(1.0),quantification(0.479450301849),existential(0.408583956391),exterior(0.357525084878),joint(0.319141489228),irreparable(0.226736379764),"(0.18943116175346095, 'elementary')"
14,dispositions__xx,dispositions(1.0),behaviour(0.641955548067),behavior(0.639929704235),manifestations(0.51971642537),speech(0.411486937667),embodiments(0.240991129866),"(0.18524426972217148, 'fabric')"
15,relative_terms__xx,relative_terms(1.0),spaced(0.477224736497),lopping(0.472828517339),singing(0.383262806695),lopped(0.349225177968),informally(0.258234550176),"(0.18318690623673195, 'modesty')"
16,ideas__xx,ideas(1.0),impressions(0.55739400834),copies(0.538604072162),interpolated(0.463617593575),copying(0.398999108721),reflexes(0.276316946015),"(0.20379584390758951, 'names')"
17,reality__xx,reality(1.0),monica(0.372022895373),unsullied(0.295889614144),stanford(0.254212569399),ascription(0.236700052864),kin(0.177529792852),"(0.14953748598773581, 'circumstances')"
18,application__xx,application(1.0),abbreviative(0.472371679167),dl(0.45969092485),applications(0.410540836976),dll(0.350558511475),pm(0.213952546362),"(0.1853651117595706, 'analysis')"
19,reduction__xx,reduction(1.0),inflations(0.3472099412),reductions(0.32887072329),epistemological(0.292736508813),débacle(0.268613630966),immediate(0.213794169565),"(0.176890555282506, 'formulation')"
20,parts__xx,parts(1.0),spatially(0.451261865581),part(0.442191656073),undetached(0.423431765295),temporally(0.370257545559),manifolds(0.224234643501),"(0.17709770164909933, 'space')"
21,ambiguity__xx,ambiguity(1.0),yey(0.586461304844),typical(0.541681545423),resolve(0.390473740723),vaguenesses(0.331894472025),detracts(0.209613308568),"(0.167603451659636, 'proper')"
22,memory__xx,memory(1.0),contiguity(0.303563945534),accused(0.258843632723),conceptualizations(0.250230107273),graver(0.227171944886),trace(0.180725137427),"(0.15865759996560114, 'proportion')"
23,truth_vehicles__xx,truth_vehicles(1.0),surrogate(0.490350721199),reworking(0.416264533185),deflationist(0.314001814108),adhere(0.279022719223),universals(0.223798885885),"(0.19124140400695946, 'xiii')"
24,mentalistic__xx,mentalistic(1.0),criticisms(0.402824963789),vitally(0.36699841418),intensional(0.331862004484),irresponsible(0.303344753542),physicalism(0.21858057501),"(0.17142563629807051, 'acceptable')"
25,confirmation__xx,confirmation(1.0),disconfirmation(0.371657017454),eventual(0.351683486706),elaborateness(0.294806608872),content(0.275667837446),edges(0.207944178888),"(0.1784358124425949, 'wanting')"
26,description__xx,description(1.0),descriptions(0.568429054472),singular(0.509302671885),plural(0.414894513063),iz(0.340414876053),sententially(0.229760606654),"(0.19225437810860693, 'becomes')"
27,ordered_pair__xx,ordered_pair(1.0),insidious(0.449211142399),ctx(0.351215558442),ìoccurrenceî(0.320820077279),protosyntactically(0.288595538638),systematisation(0.224214136828),"(0.20115857260535069, 'auxiliary')"
28,object__xx,object(1.0),objects(0.549032999713),scattered(0.518195458709),physical(0.447278035145),single(0.374412232534),unchangeable(0.252287359299),"(0.21015039670319005, 'part')"
29,mental_states__xx,mental_states(1.0),states(0.553216700339),bypassing(0.508333751034),happenings(0.430728079526),united(0.362326613766),stretches(0.218338509141),"(0.18274057384659467, 'monism')"
30,subtraction__xx,subtraction(1.0),addition(0.49202148092),multiplication(0.491364132931),negation(0.413245516778),reals(0.386518512164),tonight(0.21385012862),"(0.1743120136175621, 'powers')"
31,prediction__xx,prediction(1.0),expectation(0.600630894724),successful(0.500053894079),confirms(0.465818583658),promotes(0.366477402526),sheer(0.222068471444),"(0.17691563816360106, 'fell')"
32,sense_datum__xx,sense_datum(1.0),flimsy(0.402284928507),bones(0.395628071194),ironical(0.34203732523),ors(0.308740860876),johns(0.242834194967),"(0.21110939537880369, 'smooth')"
33,pronouns__xx,pronouns(1.0),exterior(0.544235182827),pronoun(0.528204785603),demonstratives(0.431730109007),plural(0.387543701558),logical_particles(0.21436903792),"(0.16840653200293298, 'job')"
34,meaning__xx,meaning(1.0),stimulus(0.67967604458),sameness(0.577076298006),ëgavagaií(0.560238123068),empirical(0.407875781051),unsullied(0.263428169814),"(0.18144670834893123, 'sentences')"
35,construction__xx,construction(1.0),constructions(0.579642090198),opaque(0.460277869389),hypotheticals(0.341417683463),signaling(0.283654458006),notation(0.192076969706),"(0.16149149803237312, 'domain')"
36,conditioning__xx,conditioning(1.0),intake(0.505824625333),direct(0.491588300285),association(0.426773252484),global(0.37178851315),gerade(0.233624398963),"(0.18425645339784349, 'inculcated')"
37,nouns__xx,nouns(1.0),adjectives(0.41265740931),verbs(0.378679565037),prepositions(0.33419333636),joining(0.297736827045),widens(0.194504455819),"(0.16153157999394438, 'footnote')"
38,translation__xx,translation(1.0),manual(0.565079882648),radical(0.485865238806),indeterminacy(0.447629513195),lapin(0.397414945649),fairness(0.245990861546),"(0.19602569717990664, 'independent')"
39,intension__xx,intension(1.0),inconsistencies(0.316838300291),triadic(0.295816830247),acquiescence(0.28962575829),sensa(0.264833630446),paternal(0.213134212302),"(0.18312582035534916, 'inspiration')"
40,about__xx,about(1.0),regarding(0.334563634022),world(0.325208620898),them(0.289637485701),anything(0.274749115026),information(0.209713430259),"(0.1771007173253451, 'he')"
41,propositional_attitudes__xx,propositional_attitudes(1.0),irremediably(0.610459825018),dicto(0.601306605197),thither(0.543511531061),belief(0.459265310875),fused(0.266432618242),"(0.18323878258261644, 'remain')"
42,utterances__xx,utterances(1.0),sounded(0.396058705181),utterance(0.387253612161),segments(0.297970704001),often(0.26803720966),subjectís(0.196679352837),"(0.162251117198533, 'commands')"
43,quantification__xx,quantification(1.0),existential(0.602559559971),universal(0.586911254645),substitutional(0.48954648798),theory(0.426059078529),leftmost(0.290828412261),"(0.18535683353091537, 'logic')"
44,logical_particles__xx,logical_particles(1.0),clauses(0.318213451737),repulsion(0.299419474708),numberhood(0.273288355532),focal(0.261270596385),ôfx(0.200691638703),"(0.17692697873964569, 'implying')"
45,observation_sentences__xx,observation_sentences(1.0),recantation(0.429783764399),predicational(0.428055131948),pegged(0.365165213403),observationality(0.332034361331),extensibility(0.23461418937),"(0.18133555876787166, 'connections')"
