,target,nn1,nn2,nn3,nn5,nn10,nn50,outlier
0,physicalism__xx,physicalism__xx(1.0),posit__xx(0.49277007006417567),that..(0.492110325737),caldernzygmund(0.4782119356464377),life..(0.4572059303537546),preconceived(0.40592956606942093),"(0.38551908673795054, 'paradox__xx')"
1,words__xx,words__xx(1.0),conditionals__xx(0.534987442047914),about__xx(0.503328212937),attributes__xx(0.4798661420249092),conditionals(0.45543812332032557),meaning__xx(0.3972731827679848),"(0.37376701155639824, 'functors')"
2,quantifiers__xx,quantifiers__xx(1.0),quantifiers(0.637741586857173),variables__xx(0.604268563514),tasm(0.5464750957597363),numbers__xx(0.5339694034988062),maacah(0.5207112519536407),"(0.49675024690045466, 'helpfulness')"
3,variables__xx,variables__xx(1.0),quantifiers(0.6129963924901327),construction__xx(0.61146344766),stavo(0.5577246183096448),demisexual(0.5441259141046125),pixmap(0.5233447125710071),"(0.5009417220185215, 'adverbs')"
4,maxim__xx,maxim__xx(1.0),intuitively(0.5688403920591333),counterintuitive(0.554289069758),fallacy(0.526048141219458),presumption(0.5086092528231329),realisation(0.4642800815933936),"(0.431367111974873, 'reduction__xx')"
5,specious_present__xx,specious_present__xx(1.0),antalls(0.553900558942659),millmans(0.548215787545),cheilostomata(0.4930589391081472),mudik(0.4817393057365634),cotps(0.4525183840714881),"(0.3850769950296463, 'svz')"
6,phoneme__xx,phoneme__xx(1.0),object__xx(0.6530447399501204),affairthe(0.525049255521),description__xx(0.5106563037187387),meaning__xx(0.4855796286263243),stillmore(0.3996890698950753),"(0.3763998159011277, 'recursion')"
7,numbers__xx,numbers__xx(1.0),jacobian(0.6679749277146207),algebras(0.666886138131),eigenvalues(0.6645825122023428),integrals(0.6598915730595134),categorical(0.6119322553631517),"(0.588276314916559, 'nontrivial')"
8,learning__xx,learning__xx(1.0),translation__xx(0.6310236292105517),utterances__xx(0.549509768216),subjectobjectverb(0.5243934314376445),chokhmah(0.50363771685739),vidari(0.44189826115544245),"(0.4197136050250887, 'construe')"
9,divided_reference__xx,divided_reference__xx(1.0),nederduits(0.5434956143139122),transcompiling(0.540403008644),reframing(0.4943629207517068),acetyltransferases(0.487099143893944),hambirao(0.4591484832829945),"(0.41623556561133845, 'phoneme__xx')"
10,information__xx,information__xx(1.0),ordered_pair__xx(0.5849625826866701),ordinals(0.573266983771),numbers__xx(0.5417978795611584),comprehend(0.5183811656104319),ambiguity__xx(0.4575310570163922),"(0.43098112714121756, 'unobservable')"
11,nominalism__xx,nominalism__xx(1.0),attributes__xx(0.5387967740160697),prediction__xx(0.506871431477),posit__xx(0.4660723695075361),relativism(0.4509763467444009),individualism(0.397383498921411),"(0.3741390101659744, 'holism')"
12,paradox__xx,paradox__xx(1.0),about__xx(0.5272853453997489),meaning__xx(0.478135867369),prediction__xx(0.4589113346352214),attributes__xx(0.43523086276995776),why(0.37834959251949357),"(0.35416457716115574, 'trivially')"
13,truth_functions__xx,truth_functions__xx(1.0),conditionals__xx(0.5081501912849755),ideas__xx(0.490551066776),orbicella(0.4587657758384603),adjectives__xx(0.44543782411279653),propositional(0.4033338920705628),"(0.38294660753159726, 'variables__xx')"
14,dispositions__xx,dispositions__xx(1.0),translation__xx(0.6170622440909465),dispositions(0.568962568274),information__xx(0.5474527036912896),imperative(0.49655928110241776),existential(0.44989147623991177),"(0.4241137073216048, 'altruistic')"
15,relative_terms__xx,relative_terms__xx(1.0),conditionals__xx(0.46207849047324345),predicates(0.461032862713),tetrafluoroethylene(0.44761299783672),adjectival(0.4318804165329409),unipotent(0.3840597990140112),"(0.36346985085518474, 'neednt')"
16,ideas__xx,ideas__xx(1.0),predicates(0.644643233777078),conditionals__xx(0.608138985003),attributes__xx(0.5691163861353427),immutable(0.541861897692778),meaning__xx(0.4691307498557279),"(0.431700595709939, 'variables__xx')"
17,reality__xx,reality__xx(1.0),monism(0.5890449600136162),meaning__xx(0.577347815396),meaninglessness__xx(0.5255927040529246),immanent(0.5050396586985412),ontological(0.46456611998735386),"(0.4416856824593342, 'declarative')"
18,application__xx,application__xx(1.0),multiplicity(0.568226521665545),recursion(0.563793824092),martingale(0.5493002323398897),ergodic(0.5358024357721793),priori(0.4950984402442889),"(0.46229794509765565, 'definable')"
19,reduction__xx,reduction__xx(1.0),quantification__xx(0.6007127541096816),propositional(0.588789515443),predicates(0.5614652951788447),axioms(0.5368247563474255),proofs(0.48983619813851426),"(0.46150206031475993, 'trigonometric')"
20,parts__xx,parts__xx(1.0),objects__xx(0.5549399689469893),predicates(0.501811877035),morphisms(0.4682825735362867),negation(0.44108193897971654),lattices(0.39671620796102025),"(0.3778018344510124, 'multiplicative')"
21,ambiguity__xx,ambiguity__xx(1.0),predicate(0.5655492839440732),generality(0.543937256271),suffices(0.5235851956692267),learning__xx(0.5115151792887938),infer(0.44334280318818003),"(0.41623649416016184, 'grammatically')"
22,memory__xx,memory__xx(1.0),whoit(0.5091151868470429),thatll(0.499182624433),muranda(0.4560760674918819),ourselves(0.44775149416399534),theyll(0.40895948323463316),"(0.38053805828942444, 'hurtful')"
23,truth_vehicles__xx,truth_vehicles__xx(1.0),vpcs(0.6043907498471554),tlh(0.582047594127),hachuring(0.5125858070644356),juw(0.49505721874079234),niezabitowska(0.44984899406340334),"(0.37305732663237706, 'straightedge')"
24,mentalistic__xx,mentalistic__xx(1.0),utterance(0.5428638480902986),objects__xx(0.540365737732),truthful(0.5245556856405486),clarifying(0.5038375349541978),objectivity(0.4372729214898608),"(0.408899186910441, 'object__xx')"
